time;logger;level;message;exception
2012-05-05 17:46:53.8149;Raven.Database.Impl.DocumentCacher;Info;"MemoryCache Settings:
  PhysicalMemoryLimit = 98
  CacheMemoryLimit    = 670040064
  PollingInterval     = 00:02:00";
2012-05-05 17:46:53.8339;Raven.Storage.Esent.TransactionalStorage;Info;"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 65536
  DatabasePageSize = 4096";
2012-05-05 17:46:56.6570;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Backup/Status' was not found;
2012-05-05 17:46:56.6990;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work;
2012-05-05 17:46:56.6990;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work;
2012-05-05 17:47:12.6229;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-05-05 17:47:12.6409;Raven.Database.Server.HttpServer;Debug;Request #   1: GET     -    35 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-05-05 17:47:13.1750;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Inserted a new document with key 'Apresentação RavenDB ISEL', update: False, ;
2012-05-05 17:47:13.1750;Raven.Database.DocumentDatabase;Debug;Put document Apresentação RavenDB ISEL with etag 00000000-0000-0100-0000-000000000001;
2012-05-05 17:47:13.1750;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 1 because: PUT Apresentação RavenDB ISEL;
2012-05-05 17:47:13.1750;Raven.Database.DocumentDatabase;Debug;Successfully executed 1 commands in 00:00:00.0791345;
2012-05-05 17:47:13.1750;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work;
2012-05-05 17:47:13.1750;Raven.Database.Indexing.WorkContext;Debug;No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work;
2012-05-05 17:47:13.4290;Raven.Database.Server.HttpServer;Debug;Request #   2: POST    -   370 ms - <default>  - 200 - /bulk_docs;
2012-05-05 17:47:13.4290;Raven.Database.Server.HttpServer;Debug;"	PUT Apresentação RavenDB ISEL
";
2012-05-05 17:47:15.7581;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Apresenta%C3%A7%C3%A3o%20RavenDB%20ISEL' was not found;
2012-05-05 17:47:15.7581;Raven.Database.Server.HttpServer;Debug;Request #   3: GET     -     0 ms - <default>  - 404 - /docs/Apresenta%C3%A7%C3%A3o%20RavenDB%20ISEL;
2012-05-05 17:56:30.3228;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Replication/Destinations' was not found;
2012-05-05 17:56:30.3228;Raven.Database.Server.HttpServer;Debug;Request #   4: GET     -    19 ms - <default>  - 404 - /docs/Raven/Replication/Destinations;
2012-05-05 17:56:30.4808;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Inserted a new document with key 'RavenDB/ISEL', update: False, ;
2012-05-05 17:56:30.4808;Raven.Database.DocumentDatabase;Debug;Put document RavenDB/ISEL with etag 00000000-0000-0100-0000-000000000002;
2012-05-05 17:56:30.4828;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 2 because: PUT RavenDB/ISEL;
2012-05-05 17:56:30.4828;Raven.Database.DocumentDatabase;Debug;Successfully executed 1 commands in 00:00:00.0168425;
